bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
04,17,34,10 s.d 250 cm ,1 hari,94,2915,8851,2,0,0,0,3600,23,n.a
05,5,7,10 s.d 100 cm ,1 hari,15,150,355,0,0,0,0,0,0,n.a
06,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
07,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
08,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
09,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
10,5,7,10 s/d 100 cm,1 hari,16,391,1203,0,0,0,0,0,0,n.a
11,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
12,11,20,15 s/d 100 cm,1 hari,41,316,1601,0,0,0,0,0,0,n.a
bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
1,35,151,10 s.d 350 cm,4 hari,390,22148,83406,19,0,0,0,36445,269,n.a
2,42,167,5 s.d 200 cm,1 s.d 2 hari,581,12551,43464,6,0,0,0,13808,119,n.a
3,24,46,5 s.d 160 cm,1 s.d 2 hari,104,3057,9687,0,0,0,0,453,14,n.a
4,21,50,10 s.d 130 cm,1 s.d 2 hari,106,1059,2966,0,0,0,0,75,2,n.a
5,12,23,10 s.d 200 cm,1 s.d 2 hari,47,891,3117,0,0,0,0,213,6,n.a
6,9,16,5 s.d 120 cm,1 hari,46,80,320,0,0,0,0,320,7,n.a
7,2,2,20 s.d 50 cm,1 hari,4,0,0,0,0,0,0,0,0,n.a
8,10,12,10 s.d 80 cm,1 hari,20,0,0,0,0,0,0,0,0,n.a
9,16,28,10 s.d 130 cm,1 s.d 2 hari,65,414,1300,0,0,0,0,104,5,n.a
10,29,72,10 s.d 180 cm,1 s.d 2 hari,170,1933,6250,0,0,0,0,675,12,n.a
11,16,27,10 s.d 60 cm,1 s.d 2 hari,54,0,0,0,0,0,0,0,0,n.a
12,7,9,10 s.d 80 cm,1 hari,18,250,827,0,0,0,0,0,0,n.a

